SKIP
1,23
2,5
3,70
4,58
5,35
6,29
7,89
8,70
9,49
10,64
11,97
12,29
13,19
14,88
15,84
16,19
17,62
18,79
19,85
20,12
21,78
22,42
23,2
24,39
25,38
26,71
27,50
28,20
29,73
30,90
31,71
32,83
33,51
34,24
35,40
36,88
37,94
38,95
39,73
40,72
41,14
42,20
43,96
44,78
45,97
46,8
47,88
48,62
49,35
50,96
51,54
52,23
53,71
54,41
55,54
56,80
57,70
58,46
59,56
60,99
61,11
62,48
63,57
64,22
65,68
66,3
67,18
68,77
69,1
70,80
71,70
72,41
73,27
74,28
75,4
76,50
77,29
78,35
79,61
80,97
81,46
82,26
83,50
84,24
85,21
86,74
87,36
88,45
89,1
90,60
91,48
92,81
93,95
94,55
95,31
96,21
97,51
98,72
99,69
100,30
