SKIP
1,3,16,19
2,2,88,13
3,4,44,19
4,1,35,10
5,4,36,4
6,4,68,14
7,5,10,18
8,2,69,1
9,1,31,6
10,3,83,18
11,1,80,10
12,4,52,17
13,2,8,17
14,5,94,10
15,2,17,7
16,4,71,16
17,3,86,9
18,5,84,18
19,1,87,7
20,1,93,11
21,4,8,14
22,2,78,10
23,5,53,8
24,1,24,20
25,5,63,6
26,2,53,8
27,1,50,11
28,2,58,6
29,3,13,8
30,4,16,2
31,4,82,1
32,3,65,1
33,3,70,1
34,3,59,5
35,1,71,8
36,1,66,2
37,5,47,3
38,5,68,4
39,1,38,18
40,3,69,11
41,1,45,9
42,2,45,7
43,3,39,6
44,2,99,3
45,3,68,2
46,2,40,13
47,3,94,15
48,5,19,6
49,3,76,2
50,2,18,10
51,1,67,11
52,1,38,15
53,2,44,1
54,5,68,18
55,2,60,18
56,2,68,2
57,1,91,7
58,2,68,4
59,4,2,2
60,5,57,5
61,2,66,8
62,3,15,5
63,2,5,17
64,1,95,20
65,5,56,15
66,3,27,6
67,2,65,17
68,1,13,12
69,4,13,1
70,3,90,14
71,3,19,18
72,5,34,20
73,3,13,11
74,4,48,9
75,4,11,8
76,2,51,9
77,5,91,9
78,5,9,11
79,2,47,1
80,5,67,14
81,1,8,5
82,5,86,4
83,1,70,16
84,5,17,14
85,5,66,10
86,5,71,6
87,3,61,19
88,2,7,18
89,2,91,16
90,5,1,1
91,5,38,19
92,3,30,6
93,2,31,10
94,2,9,17
95,4,16,17
96,1,38,14
97,3,54,12
98,3,71,2
99,3,92,10
100,1,46,15
