SKIP
1,Interesse,19,47
2,Interesse,23,42
3,Interesse,95,1
4,Interesse,84,6
5,Participe,81,16
6,Participe,65,11
7,Interesse,33,36
8,Participe,4,25
9,Participe,51,16
10,Interesse,53,35
11,Participe,84,33
12,Participe,94,11
13,Participe,10,3
14,Participe,37,13
15,Interesse,6,20
16,Participe,15,5
17,Interesse,78,20
18,Participe,47,39
19,Interesse,21,23
20,Participe,6,49
21,Interesse,96,30
22,Participe,93,48
23,Interesse,39,20
24,Participe,61,32
25,Participe,55,1
26,Interesse,8,35
27,Participe,10,47
28,Participe,92,14
29,Interesse,70,35
30,Participe,33,9
31,Participe,17,17
32,Participe,52,37
33,Participe,57,14
34,Participe,94,29
35,Participe,100,5
36,Interesse,95,21
37,Interesse,16,18
38,Interesse,19,47
39,Participe,54,7
40,Interesse,4,42
41,Interesse,71,24
42,Participe,32,37
43,Interesse,45,40
44,Participe,6,8
45,Participe,8,37
46,Interesse,39,34
47,Participe,77,41
48,Participe,77,46
49,Interesse,88,35
50,Interesse,56,48
51,Participe,10,31
52,Interesse,59,50
53,Participe,82,39
54,Interesse,21,50
55,Interesse,90,19
56,Participe,31,1
57,Participe,49,38
58,Participe,61,28
59,Participe,59,28
60,Interesse,29,32
61,Participe,7,29
62,Interesse,64,49
63,Interesse,45,34
64,Participe,74,47
65,Participe,27,17
66,Participe,57,38
67,Participe,64,17
68,Interesse,8,6
69,Participe,68,2
70,Participe,89,27
71,Participe,90,36
72,Interesse,19,24
73,Interesse,26,11
74,Interesse,91,45
75,Interesse,44,37
76,Interesse,14,3
77,Interesse,78,26
78,Interesse,80,20
79,Participe,45,39
80,Participe,97,21
81,Interesse,80,38
82,Participe,86,19
83,Participe,42,34
84,Interesse,12,50
85,Participe,91,2
86,Interesse,75,43
87,Participe,55,32
88,Participe,55,12
89,Interesse,52,35
90,Participe,15,42
91,Interesse,37,38
92,Participe,12,8
93,Participe,92,9
94,Participe,63,8
95,Interesse,25,27
96,Participe,32,5
97,Interesse,53,2
98,Participe,70,32
99,Interesse,82,42
100,Participe,45,42
101,Interesse,86,26
102,Participe,96,25
103,Participe,77,2
104,Interesse,1,29
105,Participe,27,36
106,Interesse,8,38
107,Interesse,15,50
108,Interesse,18,42
109,Participe,37,1
110,Interesse,89,8
111,Interesse,23,14
112,Interesse,55,29
113,Interesse,41,42
114,Interesse,20,18
115,Interesse,8,13
116,Participe,3,27
117,Participe,100,13
118,Interesse,2,31
119,Participe,77,5
120,Participe,92,20
121,Participe,86,27
122,Interesse,22,43
123,Participe,28,9
124,Interesse,65,10
125,Participe,85,21
126,Participe,87,19
127,Participe,60,41
128,Interesse,41,45
129,Participe,64,32
130,Participe,89,7
131,Participe,10,2
132,Participe,9,45
133,Participe,34,27
134,Interesse,15,2
135,Participe,1,6
136,Interesse,63,16
137,Participe,33,37
138,Interesse,74,37
139,Interesse,27,13
140,Interesse,31,18
141,Interesse,76,48
142,Participe,7,42
143,Participe,3,30
144,Participe,37,46
145,Participe,57,46
146,Interesse,80,40
147,Participe,71,5
148,Interesse,45,17
149,Participe,44,1
150,Participe,14,39
151,Participe,50,23
152,Interesse,24,24
153,Interesse,41,6
154,Interesse,37,14
155,Interesse,75,37
156,Participe,73,38
157,Interesse,81,17
158,Interesse,43,43
159,Participe,36,49
160,Interesse,88,15
161,Participe,92,31
162,Interesse,74,14
163,Interesse,47,49
164,Participe,98,42
165,Participe,98,39
166,Participe,71,3
167,Participe,64,19
168,Participe,6,45
169,Interesse,46,11
170,Participe,59,35
171,Interesse,12,41
172,Interesse,4,1
173,Participe,82,34
174,Interesse,3,49
175,Interesse,74,6
176,Participe,53,28
177,Interesse,93,17
178,Interesse,39,8
179,Participe,97,8
180,Participe,100,7
181,Interesse,32,43
182,Participe,64,33
183,Interesse,74,25
184,Interesse,95,18
185,Participe,77,10
186,Participe,33,38
187,Interesse,17,35
188,Participe,96,32
189,Participe,17,44
190,Participe,24,2
191,Interesse,66,12
192,Interesse,12,42
193,Interesse,98,16
194,Participe,23,28
195,Participe,33,4
196,Interesse,19,4
197,Participe,52,8
198,Interesse,85,42
199,Participe,45,14
200,Interesse,63,27
