SKIP
24,56,4
15,77,5
142,8,4
96,52,3
7,31,1
160,20,3
66,64,2
104,22,3
179,56,4
2,32,5
199,21,2
77,89,5
25,24,5
84,81,1
187,14,3
111,24,3
190,70,5
78,56,5
117,8,4
74,86,4
133,80,4
75,91,3
137,3,2
10,38,4
119,7,3
115,63,2
24,50,5
21,60,4
25,9,5
124,84,3
8,27,1
75,66,2
84,89,4
15,100,5
112,61,3
154,91,1
129,95,1
13,80,1
191,36,5
172,36,1
167,58,3
145,62,1
27,24,4
67,87,4
94,63,1
104,68,2
83,34,1
140,5,3
147,85,5
93,92,3
41,77,2
33,86,1
26,10,2
9,6,5
62,67,2
62,69,3
82,89,2
64,23,2
108,64,3
155,35,1
24,87,3
51,41,4
197,81,1
16,91,2
163,7,1
42,26,1
10,52,2
8,85,2
85,76,4
100,58,5
126,18,3
190,20,5
16,31,1
179,7,4
8,61,1
120,89,3
109,89,5
59,34,2
161,96,3
194,3,3
52,85,1
61,88,3
39,37,5
91,3,1
49,50,5
101,95,1
63,92,1
141,48,2
54,69,1
177,94,4
86,19,2
198,86,1
175,19,4
168,92,2
16,77,3
34,66,1
105,11,4
98,58,1
92,19,1
15,77,3
171,41,5
60,76,1
45,99,1
61,60,5
95,64,2
59,73,5
194,77,4
88,69,1
8,70,3
182,67,3
187,67,3
33,19,2
164,4,3
95,81,3
131,9,5
192,66,2
14,45,2
20,41,4
75,86,3
46,75,2
169,46,4
180,54,4
163,25,1
79,19,1
193,71,1
133,22,1
141,46,5
72,50,5
109,9,4
195,22,2
45,53,2
102,20,2
67,8,1
190,27,4
153,42,3
100,83,5
115,20,5
82,40,3
149,46,1
130,34,5
56,46,4
105,5,3
65,61,5
28,69,3
153,60,3
166,95,2
192,37,5
122,21,2
141,5,2
85,23,3
103,84,4
185,65,3
185,3,3
28,39,2
104,44,2
181,39,1
52,1,1
10,37,1
160,26,4
37,47,1
129,41,1
39,58,2
155,69,3
91,8,1
163,98,5
68,28,4
182,21,2
187,19,1
116,7,3
141,44,4
13,100,2
86,15,2
57,2,4
85,83,3
4,41,3
175,46,5
64,31,2
102,6,1
165,67,3
173,50,5
11,80,4
161,70,2
110,35,2
35,15,5
14,8,3
192,69,2
51,15,3
67,75,1
116,19,1
56,16,4
178,39,1
27,96,3
105,67,4
25,8,3
195,36,2
64,87,3
30,1,5
104,51,1
150,45,2
142,20,5
